day,gross_pnl,total_tc,net_pnl,n_trades,max_drawdown,max_position,final_equity
18,0.0,0.0,0.0,0,0.0,0,10000.0
19,-30.36955218999111,6.025438142063765,-36.394990332054874,2,72.99359563313237,150,9963.605009667945
20,-91.24548528672918,3.0251526286186508,-94.27063791534783,1,94.27063791534783,150,9869.334371752597
21,0.0,0.0,0.0,0,0.0,0,9869.334371752597
22,-48.42939924922334,2.9891196233165225,-51.41851887253986,1,51.41851887253986,150,9817.915852880056
23,0.0,0.0,0.0,0,0.0,0,9817.915852880056
24,0.0,0.0,0.0,0,0.0,0,9817.915852880056
26,0.6001028069306358,2.9947617792806733,-2.3946589723500376,1,2.3946589723500376,150,9815.521193907707
27,-31.024059178855623,3.0090459931175104,-34.03310517197313,1,34.03310517197313,150,9781.488088735734
28,82.1543788232847,2.76701460084916,79.38736422243554,1,1.3876150193657442,139,9860.87545295817
29,-51.791720300436594,2.9962250500803966,-54.78794535051699,1,54.78794535051699,150,9806.087507607652
30,18.53957127064021,3.015541487011603,15.524029783628606,1,1.5068437649422695,150,9821.61153739128
31,171.12714007638914,5.9828814480711126,165.14425862831803,2,1.502549234874206,150,9986.755796019597
32,74.69943900726577,2.9908241528928667,71.7086148543729,1,1.4991470483967966,150,10058.464410873969
33,-57.73664764764419,3.0121589039817493,-60.74880655162594,1,60.74880655162594,150,9997.715604322344
42,-21.717458196403072,2.980404274038297,-24.69786247044137,1,24.69786247044137,150,9973.017741851903
43,-108.74961104919052,2.972224058515166,-111.72183510770569,1,111.72183510770569,150,9861.295906744199
44,-31.10778635466147,2.992502522172816,-34.100288876834284,1,34.100288876834284,150,9827.195617867364
46,20.78483542320555,5.9466024801967965,14.838232943008753,2,81.30963275273395,150,9842.033850810372
47,-20.917461679994176,6.011721432449086,-26.929183112443262,2,37.82012992774381,150,9815.10466769793
48,-18.808720100297904,2.9932713182601636,-21.801991418558067,1,21.801991418558067,150,9793.30267627937
49,-12.254002912799677,3.0145978023678444,-15.268600715167523,1,15.268600715167523,150,9778.034075564203
50,14.812026451988913,3.005377373890177,11.806649078098737,1,1.5019480856224892,150,9789.840724642301
51,65.19612642826971,5.9775579776848735,59.21856845058483,2,1.4941678427347693,150,9849.059293092885
52,25.05173729308723,2.989893010829686,22.061844282257542,1,1.4961990922794972,150,9871.121137375143
53,0.0,0.0,0.0,0,0.0,0,9871.121137375143
54,0.0,0.0,0.0,0,0.0,0,9871.121137375143
55,101.75054430485204,2.975086051533401,98.77545825331865,1,1.4926305529819432,150,9969.896595628461
56,18.265855486272642,2.9883864040635864,15.277469082209056,1,1.4951064948061068,150,9985.174064710669
58,1.2469846347528346,3.0290649534408116,-1.782080318687977,1,1.782080318687977,150,9983.391984391981
60,47.49807887405737,3.0098813724863156,44.48819750157105,1,1.502565782299455,150,10027.880181893552
62,0.0,0.0,0.0,0,0.0,0,10027.880181893552
63,69.36783161693185,2.9786892873379243,66.38914232959392,1,1.4928130352498086,150,10094.269324223145
65,31.57091911315817,3.0013134899466634,28.569605623211505,1,1.5022352909289896,150,10122.838929846355
66,0.0,0.0,0.0,0,0.0,0,10122.838929846355
67,6.077378691308155,3.008694263248181,3.0686844280599743,1,1.5046510005586557,150,10125.907614274416
68,-22.155513286075035,6.027814516354995,-28.18332780243003,2,76.11034104409883,150,10097.724286471985
69,-80.79942648091674,6.051155011681407,-86.85058149259814,2,86.85058149259814,150,10010.873704979387
70,48.10400346369619,3.0266418189925153,45.07736164470367,1,1.510915709323073,150,10055.95106662409
71,30.08378581369655,2.993208350116132,27.09057746358042,1,1.4950999857673812,150,10083.04164408767
72,32.38215042120487,5.985218024886953,26.396932396317915,2,25.128308881898953,150,10109.438576483988
73,0.0,0.0,0.0,0,0.0,0,10109.438576483988
74,71.26116250163363,2.9895244846028204,68.27163801703081,1,1.4983253004264918,150,10177.71021450102
75,43.895029607144664,2.9756690663999237,40.91936054074474,1,1.490029284680319,150,10218.629575041765
76,13.688874041510246,3.007414061289209,10.681459980221037,1,1.503022586942529,150,10229.311035021987
77,9.678769188683134,3.009056458670586,6.669712730012548,1,1.5050121677947272,150,10235.980747752
79,217.46036498585184,2.9929669176427542,214.4673980682091,1,1.4856104405720845,150,10450.44814582021
80,16.813874856833877,3.007221771898389,13.806653084935487,1,1.5044515796920364,150,10464.254798905145
81,73.80040833515196,6.00140388405398,67.79900445109797,2,28.010408422305048,150,10532.053803356242
82,0.0,0.0,0.0,0,0.0,0,10532.053803356242
83,-37.486587486773004,6.013500941098366,-43.50008842787137,2,49.11695280272609,150,10488.55371492837
84,0.0,0.0,0.0,0,0.0,0,10488.55371492837
85,-0.9052842449690957,3.0289652443288015,-3.934249489297897,1,3.934249489297897,150,10484.619465439073
86,0.0,0.0,0.0,0,0.0,0,10484.619465439073
87,-38.09165635877321,3.000179919293156,-41.09183627806636,1,41.09183627806636,150,10443.527629161008
88,2.6471416475253307,2.997734851786447,-0.3505932042611164,1,1.4987350688108474,150,10443.177035956747
89,175.3858566402549,2.961235655169549,172.42462098508534,1,1.471848534752762,150,10615.601656941832
90,3.530713116492734,3.0311423989438433,0.4995707175488908,1,1.5157477351277462,150,10616.10122765938
91,0.0,0.0,0.0,0,0.0,0,10616.10122765938
92,19.914078574118577,3.0094476845418665,16.90463088957671,1,1.5037281383422274,150,10633.005858548955
93,-2.8820488775750164,2.990823278682351,-5.872872156257367,1,5.872872156257367,150,10627.132986392699
94,0.0,0.0,0.0,0,0.0,0,10627.132986392699
95,0.0,0.0,0.0,0,0.0,0,10627.132986392699
96,5.795726030442694,2.993798614832164,2.80192741561053,1,1.497189093717604,150,10629.934913808309
97,-52.27727597196363,3.0424252253140027,-55.31970119727764,1,55.31970119727764,150,10574.615212611032
98,0.0,0.0,0.0,0,0.0,0,10574.615212611032
99,15.227843134483265,2.996798218544804,12.231044915938462,1,1.4976377171156778,150,10586.846257526971
100,49.4023715960104,3.005936809156104,46.39643478685429,1,1.5054385231578526,150,10633.242692313825
101,0.0,0.0,0.0,0,0.0,0,10633.242692313825
102,56.541579102140815,2.9865334326028314,53.55504566953798,1,1.4960937952565228,150,10686.797737983363
103,30.72216848965752,3.00246947037928,27.719699019278238,1,1.499698626765157,150,10714.517437002642
104,-23.477758333918786,2.983720044072534,-26.46147837799132,1,26.46147837799132,150,10688.05595862465
105,48.746237460770914,3.0274646260720632,45.718772834698854,1,1.511295001162993,150,10733.77473145935
106,2.639342485908003,3.0044729471565557,-0.36513046124855286,1,1.5021045064539824,150,10733.409600998102
107,22.41507059108514,5.978474295365906,16.436596295719234,2,1.4969166418373736,150,10749.846197293822
108,-6.210217486989933,5.99777615116564,-12.207993638155573,2,19.309166798765673,150,10737.638203655666
109,114.89806592758285,5.970360233116303,108.92770569446654,2,1.499322706987401,150,10846.565909350133
110,0.0,0.0,0.0,0,0.0,0,10846.565909350133
111,-64.46234580436538,3.008236701203585,-67.47058250556897,1,67.47058250556897,150,10779.095326844563
112,111.82276750341771,5.9607524377935155,105.86201506562419,2,1.497382016552607,150,10884.957341910187
113,4.079128568272239,3.003482529173703,1.0756460390985358,1,1.501945221015265,150,10886.032987949286
114,81.03109183024415,6.023407474650348,75.0076843555938,2,1.5048759296573024,150,10961.04067230488
115,-107.16319134308736,2.997805082279811,-110.16099642536717,1,110.16099642536717,149,10850.879675879514
116,0.0,0.0,0.0,0,0.0,0,10850.879675879514
117,10.954321327446337,2.9988901015612446,7.955431225885093,1,1.49889733471425,150,10858.8351071054
118,-33.05709800710943,3.0140352954773917,-36.07113330258682,1,36.07113330258682,150,10822.763973802814
119,0.9551866097162076,6.011822143611322,-5.056635533895115,2,21.804716747731902,150,10817.707338268918
131,56.88865923924524,3.009449878125325,53.87920936111992,1,1.5075693720246248,150,10871.586547630037
132,-31.743450261395623,3.0042999634230614,-34.74775022481868,1,34.74775022481868,150,10836.838797405218
133,26.36023097233462,3.0047475378218635,23.355483434512756,1,1.501055757362315,150,10860.19428083973
134,109.69555163656537,3.0062303216277857,106.68932131493759,1,1.4976303832320645,150,10966.883602154669
135,-7.107498338486806,2.993948719465998,-10.101447057952804,1,10.101447057952804,150,10956.782155096716
136,62.697243533939684,6.025337605215127,56.671905928724556,2,1.5093209990461176,150,11013.45406102544
137,27.132358662983336,2.9933158059336096,24.139042857049727,1,1.498014520899954,150,11037.593103882491
138,-16.458396283779564,5.987365431487145,-22.44576171526671,2,25.87989833098186,150,11015.147342167225
139,38.421627580390094,5.985369880723572,32.43625769966652,2,22.619374620135577,150,11047.583599866892
